value,name
http://dbpedia.org/resource/Jeffrey_E._Barlough,Jeffrey E. (Ernest) Barlough
http://dbpedia.org/resource/John_Straley,John Straley
http://dbpedia.org/resource/Jon_Meacham,Jon Meacham
http://dbpedia.org/resource/Jonathan_Maberry,Jonathan Maberry
http://dbpedia.org/resource/Kai_Bird,Kai Bird
http://dbpedia.org/resource/Katharine_Holabird,Katharine Holabird
http://dbpedia.org/resource/Kerry_Shook,Kerry Shook
http://dbpedia.org/resource/Lance_Olsen,Lance Olsen
http://dbpedia.org/resource/Laura_Anne_Gilman,Laura Anne Gilman
http://dbpedia.org/resource/Laura_Numeroff,Laura Numeroff
http://dbpedia.org/resource/Leslie_Esdaile_Banks,Leslie Esdaile Banks
http://dbpedia.org/resource/Leslie_Esdaile_Banks,Leslie Ann Peterson Esdaile Banks
http://dbpedia.org/resource/Liesel_Litzenburger,Liesel Litzenburger
http://dbpedia.org/resource/Linwood_Barclay,Linwood Barclay
http://dbpedia.org/resource/Lisa_Kleypas,Lisa Kleypas
http://dbpedia.org/resource/Lisa_Scottoline,Lisa Scottoline
http://dbpedia.org/resource/Marijane_Meaker,Marijane Meaker
http://dbpedia.org/resource/Marjorie_W._Sharmat,Marjorie W. Sharmat
